state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
AZ,1,49,0,0,0,0,1,0,1,0,1,8.5,0,1,1,302,339,35
AZ,1,37,0,0,1,0,1,0,1,0,1,7.5,0,1,1,362,389,25
AZ,1,21,0,0,1,0,1,1,0,0,0,0.25,0,0,1,245,254,10
AZ,1,59,0,0,0,0,1,0,1,0,1,4,0,1,1,422,444,20
AZ,1,52,0,0,0,0,1,0,1,1,1,3.6,0,1,1,452,454,3
AZ,1,49,0,0,0,0,1,0,1,1,1,9.25,0,1,1,542,574,30
AZ,1,44,0,0,0,0,1,0,1,0,1,7.3,0,1,1,285,309,20
AZ,1,61,0,0,0,0,1,0,1,0,1,2.8,0,1,1,522,534,10
AZ,1,39,0,0,0,0,1,1,0,1,1,41.205,0,0,1,482,494,10
AZ,1,35,0,0,0,0,1,0,1,1,1,6.2,0,1,1,392,424,30
AZ,1,27,0,0,0,1,0,0,1,0,0,2.5,0,1,1,635,654,20
AZ,1,17,0,0,0,0,1,1,0,0,0,1.3,0,1,1,965,974,10
AZ,1,63,0,0,0,0,1,0,1,1,1,8.8,0,1,1,452,489,35
AZ,1,40,0,0,1,0,1,0,1,0,1,2.6,0,1,1,302,334,30
AZ,1,62,0,0,0,0,1,1,0,0,0,5.6,0,1,1,265,289,20
AZ,1,23,0,0,0,0,1,0,1,0,0,0.93,0,1,0,935,944,10
AZ,1,36,0,0,0,0,1,1,0,1,1,41.2,0,1,1,422,469,45
AZ,1,29,0,1,0,0,0,1,0,1,0,7.8,0,1,1,362,379,17
AZ,1,17,0,0,0,0,1,1,0,0,0,0.1,0,1,1,905,914,10
AZ,1,26,0,0,0,0,1,1,0,1,0,0.8,0,1,1,442,454,10
AZ,1,30,0,0,1,0,1,0,1,1,0,4.05,0,1,1,452,484,30
AZ,1,64,0,0,0,0,1,1,0,0,1,2.7,0,1,1,542,564,20
AZ,1,60,0,0,0,0,1,0,1,0,1,7,0,1,1,317,349,30
AZ,1,33,0,0,1,0,1,1,0,0,1,2.3,0,1,1,437,459,20
AZ,1,22,0,0,0,0,1,1,0,0,0,2.4,0,0,1,467,514,45
AZ,1,51,0,0,1,0,1,0,1,0,0,4.9,0,1,1,392,409,15
AZ,1,30,0,0,0,0,1,0,1,1,1,10.4,0,1,1,302,379,75
AZ,1,30,0,0,0,0,1,0,1,0,1,3.5,0,1,1,392,424,30
AZ,1,24,0,0,0,0,1,1,0,0,0,2.5,0,1,1,15,124,145
AZ,1,39,0,0,0,0,1,0,1,0,1,4.3,0,1,1,422,504,80
AZ,1,32,0,0,0,0,1,1,0,1,0,6.6,0,1,1,422,444,20
AZ,1,46,0,0,0,0,0,1,0,1,0,18,0,1,1,437,479,40
AZ,1,41,0,0,1,0,0,1,0,0,1,3.18,0,1,1,597,604,1
AZ,1,28,0,0,0,0,1,1,0,1,0,5,0,1,1,285,329,40
AZ,1,55,1,0,0,0,0,1,0,1,0,5.32,0,1,1,845,874,30
AZ,1,50,0,0,0,0,1,0,1,1,1,14.6,0,1,1,392,409,15
AZ,1,31,0,0,0,0,1,0,1,1,0,20.2,0,0,1,332,379,45
AZ,1,59,0,0,0,0,1,0,1,1,0,8,0,1,1,392,399,9
AZ,1,26,0,0,0,0,1,1,0,0,1,3,0,1,1,302,364,60
AZ,1,71,0,0,0,0,1,1,0,0,0,1.44,0,1,1,422,444,20
AZ,1,19,0,0,0,0,0,0,1,0,0,1.99,0,1,1,245,264,20
AZ,1,70,0,0,0,0,1,0,1,1,1,3.588,0,1,1,542,554,10
AZ,1,49,0,0,0,0,1,0,1,0,1,3.8,0,1,1,452,494,40
AZ,1,49,0,0,0,0,1,0,1,1,1,15,0,1,1,452,474,20
AZ,1,53,0,0,1,0,0,0,1,0,1,1.9,0,1,1,275,309,35
AZ,1,36,0,0,0,0,1,0,1,1,1,12.5,0,1,1,275,364,90
AZ,1,30,1,0,0,0,0,0,1,0,1,9.44,0,1,1,332,369,35
AZ,1,46,0,0,1,0,1,0,1,0,1,6,0,1,1,185,214,30
AZ,1,45,0,0,0,0,1,0,1,0,1,5.4,0,1,1,1005,1034,30
AZ,1,45,0,0,0,0,1,1,0,1,1,0.3,0,1,1,397,444,45
AZ,1,51,0,0,1,0,0,0,1,1,1,4.5,0,1,1,482,504,20
AZ,1,31,0,0,0,0,1,0,1,0,0,0.9,0,0,1,407,454,45
AZ,1,39,1,0,0,0,0,1,0,1,1,4,0,1,0,377,414,35
AZ,1,26,0,0,0,0,1,0,1,1,0,5.5,0,1,1,755,799,45
AZ,1,42,0,0,0,0,1,1,0,0,1,13,0,1,1,665,724,60
AZ,1,36,0,1,0,0,0,0,1,1,0,2.38,0,1,1,452,474,20
AZ,1,73,0,0,0,0,0,1,0,0,0,3.89,0,1,0,422,439,15
AZ,1,38,0,0,0,0,1,1,0,1,0,4.7,0,1,1,332,364,30
AZ,1,43,1,0,0,0,0,0,1,0,1,4.5,1,1,1,605,624,20
AZ,1,70,0,0,0,0,1,1,0,1,1,0.365,0,1,1,452,469,15
AZ,1,46,0,0,0,0,1,1,0,1,1,3.7,0,1,1,432,439,5
AZ,1,55,0,0,1,0,1,1,0,0,1,8.7,0,1,1,437,449,10
AZ,1,62,0,0,1,0,0,1,0,0,0,1.399,1,0,0,527,549,20
AZ,1,36,0,0,1,0,1,0,1,0,1,5,0,1,1,482,494,10
AZ,1,54,0,0,0,0,1,1,0,0,1,0.59,0,1,1,452,469,15
AR,0,44,0,0,0,0,1,0,1,0,1,4,0,1,0,467,479,10
AR,0,28,0,0,0,0,1,0,1,0,1,6.7,0,1,0,362,399,35
AR,0,23,0,0,0,0,1,0,1,0,1,3.5,0,1,1,1025,1069,45
AR,0,20,0,0,0,0,1,0,1,0,0,1.09,0,1,0,392,419,25
AR,0,55,0,0,0,0,1,0,1,0,1,7.1,0,1,1,965,994,30
AR,0,23,0,0,1,0,1,0,1,1,0,1.1,0,1,1,615,629,12
AR,0,39,0,0,0,0,1,0,1,0,1,3.7,0,1,1,1355,1364,10
AR,0,48,0,0,0,0,1,1,0,1,1,5.5,0,1,1,452,469,15
AR,0,46,0,1,0,0,0,0,1,0,1,4.5,0,1,1,587,604,15
AR,0,48,0,0,0,0,1,1,0,1,1,4.4,0,1,1,392,444,50
