state,i_urban,age,i_asian,i_black,i_hispanic,i_indigenous,i_white,i_female,i_male,education,i_grad_college,i_married,personal_income,i_foodstamps,i_health_insurance,i_internet,time_depart,time_arrive,time_commuting
AZ,0,57,0,0,0,0,1,1,0,13,0,0,6.3,0,1,1,362,424,60
AZ,0,51,0,0,1,0,1,1,0,14,0,1,3,0,1,1,467,484,15
AZ,1,25,0,0,0,1,0,0,1,12,0,0,0.38,0,1,0,1245,1259,5
AZ,1,62,0,0,0,0,1,1,0,16,1,0,8,0,1,1,452,489,35
AZ,1,22,0,0,1,0,1,1,0,13,0,1,3.5,0,1,0,362,384,20
AZ,1,75,0,0,0,0,1,1,0,16,1,0,3.93,0,1,0,332,369,35
AZ,1,50,0,1,0,0,0,1,0,7,0,0,1.7,0,1,1,995,999,5
AZ,1,64,0,0,1,0,1,1,0,12,0,1,3.13,0,1,1,332,379,45
AZ,1,63,0,0,0,0,1,1,0,13,0,1,2.3,0,1,1,482,519,35
AZ,1,53,0,1,0,0,0,1,0,13,0,0,4,1,1,1,437,484,45
AZ,1,27,0,0,0,0,1,1,0,16,1,1,3.3,0,1,1,437,509,70
AZ,1,67,1,0,1,0,0,0,1,16,1,1,2.52,0,1,1,542,549,6
AZ,1,19,0,0,0,0,1,1,0,12,0,0,1.1,0,1,1,542,569,25
AZ,1,20,0,0,1,0,1,0,1,12,0,0,2,0,1,1,572,604,30
AZ,1,32,0,0,0,0,1,0,1,16,1,0,5.5,0,1,1,332,344,10
AZ,1,29,0,0,1,0,1,0,1,8,0,1,3.5,0,1,0,422,444,20
AZ,1,28,0,0,1,0,1,0,1,12,0,1,5,0,1,1,322,344,20
AZ,1,47,0,0,0,0,1,1,0,12,0,1,5.5,0,1,1,512,539,25
AZ,1,23,0,0,0,0,1,1,0,14,0,0,2,0,1,1,945,964,20
AZ,1,50,0,0,0,1,0,1,0,11,0,0,4,0,1,1,1395,1414,30
